CWD_Barcod,Kill_Date,Township,Range,Range_Dir,Section,Quarter_Se,Deer_Sex,DTRSQ,X,Y
252975,9/30/2009,7,3,4,12,0,F,407031200,-90.08362247,43.09790267
254702,11/11/2012,2,19,4,20,3,F,402192030,-88.28129902,42.61463954
255194,4/4/2012,8,3,4,21,4,F,408032140,-90.13828384,43.15127338
255208,6/23/2011,7,3,4,1,1,M,407030110,-90.07892447,43.11539863
255226,9/20/2011,7,5,4,6,2,M,407050620,-89.95141028,43.11426757
255229,2/8/2011,8,4,4,22,2,M,408042220,-90.01034926,43.15805928
255234,1/12/2011,7,6,4,23,2,F,407062320,-89.75492506,43.07169696
255279,11/24/2011,5,6,4,23,2,M,405062320,-89.75478453,42.89717277
255284,11/22/2011,7,6,4,28,2,F,407062820,-89.794516,43.05701774
255286,11/23/2011,5,5,4,27,2,M,405052720,-89.89233359,42.88282952
255296,11/21/2011,7,4,4,23,4,M,407042340,-89.98071269,43.06402772
255328,11/20/2011,5,6,4,29,1,F,405062910,-89.80414451,42.88276391
255330,11/20/2011,7,5,4,11,1,M,407051110,-89.86258719,43.09998102
255373,11/28/2009,9,4,4,14,3,M,409041430,-89.98980613,43.25317733
255494,10/10/2009,9,2,4,5,3,M,409020530,-90.28637746,43.28220699
255509,11/26/2009,8,5,4,28,2,M,408052820,-89.91238331,43.14330752
255516,11/21/2009,7,6,4,5,1,M,407060510,-89.80408932,43.11495324
255519,11/24/2011,7,6,4,29,1,M,407062910,-89.8043219,43.05695705
255532,11/5/2011,7,4,4,2,1,M,407040210,-89.98091206,43.11451799
255534,11/27/2010,7,6,4,17,3,F,407061730,-89.81412965,43.07857449
255535,11/6/2011,7,5,4,15,1,M,407051510,-89.88233643,43.08553094
255540,11/19/2011,8,5,4,23,4,M,408052340,-89.86285895,43.1510187
255541,11/20/2011,7,6,4,15,2,M,407061520,-89.77462464,43.08606905
255575,1/1/2009,6,6,4,3,1,M,406060310,-89.76517592,43.02828187
255582,12/25/2008,7,6,4,28,3,M,407062830,-89.79455424,43.04991139
